design,order,po_index,po_gate_id,po_name,bdd_size,status,png,report,dot,log,dofile
adder_4,file,0,37,sum[0],3,ok,results/adder_4/file/adder_4_file_po00_sum_0.png,results/adder_4/file/adder_4_file_po00_sum_0.bdd.txt,results/adder_4/file/adder_4_file_po00_sum_0.dot,results/adder_4/file/adder_4_file_po00_sum_0.log,results/adder_4/file/adder_4_file_po00_sum_0.do
adder_4,file,1,38,sum[1],6,ok,results/adder_4/file/adder_4_file_po01_sum_1.png,results/adder_4/file/adder_4_file_po01_sum_1.bdd.txt,results/adder_4/file/adder_4_file_po01_sum_1.dot,results/adder_4/file/adder_4_file_po01_sum_1.log,results/adder_4/file/adder_4_file_po01_sum_1.do
adder_4,file,2,39,sum[2],13,ok,results/adder_4/file/adder_4_file_po02_sum_2.png,results/adder_4/file/adder_4_file_po02_sum_2.bdd.txt,results/adder_4/file/adder_4_file_po02_sum_2.dot,results/adder_4/file/adder_4_file_po02_sum_2.log,results/adder_4/file/adder_4_file_po02_sum_2.do
adder_4,file,3,40,sum[3],28,ok,results/adder_4/file/adder_4_file_po03_sum_3.png,results/adder_4/file/adder_4_file_po03_sum_3.bdd.txt,results/adder_4/file/adder_4_file_po03_sum_3.dot,results/adder_4/file/adder_4_file_po03_sum_3.log,results/adder_4/file/adder_4_file_po03_sum_3.do
adder_4,file,4,41,cout[0],42,ok,results/adder_4/file/adder_4_file_po04_cout_0.png,results/adder_4/file/adder_4_file_po04_cout_0.bdd.txt,results/adder_4/file/adder_4_file_po04_cout_0.dot,results/adder_4/file/adder_4_file_po04_cout_0.log,results/adder_4/file/adder_4_file_po04_cout_0.do
adder_4,dfs,0,37,sum[0],3,ok,results/adder_4/dfs/adder_4_dfs_po00_sum_0.png,results/adder_4/dfs/adder_4_dfs_po00_sum_0.bdd.txt,results/adder_4/dfs/adder_4_dfs_po00_sum_0.dot,results/adder_4/dfs/adder_4_dfs_po00_sum_0.log,results/adder_4/dfs/adder_4_dfs_po00_sum_0.do
adder_4,dfs,1,38,sum[1],5,ok,results/adder_4/dfs/adder_4_dfs_po01_sum_1.png,results/adder_4/dfs/adder_4_dfs_po01_sum_1.bdd.txt,results/adder_4/dfs/adder_4_dfs_po01_sum_1.dot,results/adder_4/dfs/adder_4_dfs_po01_sum_1.log,results/adder_4/dfs/adder_4_dfs_po01_sum_1.do
adder_4,dfs,2,39,sum[2],8,ok,results/adder_4/dfs/adder_4_dfs_po02_sum_2.png,results/adder_4/dfs/adder_4_dfs_po02_sum_2.bdd.txt,results/adder_4/dfs/adder_4_dfs_po02_sum_2.dot,results/adder_4/dfs/adder_4_dfs_po02_sum_2.log,results/adder_4/dfs/adder_4_dfs_po02_sum_2.do
adder_4,dfs,3,40,sum[3],11,ok,results/adder_4/dfs/adder_4_dfs_po03_sum_3.png,results/adder_4/dfs/adder_4_dfs_po03_sum_3.bdd.txt,results/adder_4/dfs/adder_4_dfs_po03_sum_3.dot,results/adder_4/dfs/adder_4_dfs_po03_sum_3.log,results/adder_4/dfs/adder_4_dfs_po03_sum_3.do
adder_4,dfs,4,41,cout[0],12,ok,results/adder_4/dfs/adder_4_dfs_po04_cout_0.png,results/adder_4/dfs/adder_4_dfs_po04_cout_0.bdd.txt,results/adder_4/dfs/adder_4_dfs_po04_cout_0.dot,results/adder_4/dfs/adder_4_dfs_po04_cout_0.log,results/adder_4/dfs/adder_4_dfs_po04_cout_0.do
adder_4,rdfs,0,37,sum[0],3,ok,results/adder_4/rdfs/adder_4_rdfs_po00_sum_0.png,results/adder_4/rdfs/adder_4_rdfs_po00_sum_0.bdd.txt,results/adder_4/rdfs/adder_4_rdfs_po00_sum_0.dot,results/adder_4/rdfs/adder_4_rdfs_po00_sum_0.log,results/adder_4/rdfs/adder_4_rdfs_po00_sum_0.do
adder_4,rdfs,1,38,sum[1],5,ok,results/adder_4/rdfs/adder_4_rdfs_po01_sum_1.png,results/adder_4/rdfs/adder_4_rdfs_po01_sum_1.bdd.txt,results/adder_4/rdfs/adder_4_rdfs_po01_sum_1.dot,results/adder_4/rdfs/adder_4_rdfs_po01_sum_1.log,results/adder_4/rdfs/adder_4_rdfs_po01_sum_1.do
adder_4,rdfs,2,39,sum[2],8,ok,results/adder_4/rdfs/adder_4_rdfs_po02_sum_2.png,results/adder_4/rdfs/adder_4_rdfs_po02_sum_2.bdd.txt,results/adder_4/rdfs/adder_4_rdfs_po02_sum_2.dot,results/adder_4/rdfs/adder_4_rdfs_po02_sum_2.log,results/adder_4/rdfs/adder_4_rdfs_po02_sum_2.do
adder_4,rdfs,3,40,sum[3],11,ok,results/adder_4/rdfs/adder_4_rdfs_po03_sum_3.png,results/adder_4/rdfs/adder_4_rdfs_po03_sum_3.bdd.txt,results/adder_4/rdfs/adder_4_rdfs_po03_sum_3.dot,results/adder_4/rdfs/adder_4_rdfs_po03_sum_3.log,results/adder_4/rdfs/adder_4_rdfs_po03_sum_3.do
adder_4,rdfs,4,41,cout[0],12,ok,results/adder_4/rdfs/adder_4_rdfs_po04_cout_0.png,results/adder_4/rdfs/adder_4_rdfs_po04_cout_0.bdd.txt,results/adder_4/rdfs/adder_4_rdfs_po04_cout_0.dot,results/adder_4/rdfs/adder_4_rdfs_po04_cout_0.log,results/adder_4/rdfs/adder_4_rdfs_po04_cout_0.do
mult_4,file,0,97,p[0],3,ok,results/mult_4/file/mult_4_file_po00_p_0.png,results/mult_4/file/mult_4_file_po00_p_0.bdd.txt,results/mult_4/file/mult_4_file_po00_p_0.dot,results/mult_4/file/mult_4_file_po00_p_0.log,results/mult_4/file/mult_4_file_po00_p_0.do
mult_4,file,1,98,p[1],7,ok,results/mult_4/file/mult_4_file_po01_p_1.png,results/mult_4/file/mult_4_file_po01_p_1.bdd.txt,results/mult_4/file/mult_4_file_po01_p_1.dot,results/mult_4/file/mult_4_file_po01_p_1.log,results/mult_4/file/mult_4_file_po01_p_1.do
mult_4,file,2,99,p[2],17,ok,results/mult_4/file/mult_4_file_po02_p_2.png,results/mult_4/file/mult_4_file_po02_p_2.bdd.txt,results/mult_4/file/mult_4_file_po02_p_2.dot,results/mult_4/file/mult_4_file_po02_p_2.log,results/mult_4/file/mult_4_file_po02_p_2.do
mult_4,file,3,100,p[3],41,ok,results/mult_4/file/mult_4_file_po03_p_3.png,results/mult_4/file/mult_4_file_po03_p_3.bdd.txt,results/mult_4/file/mult_4_file_po03_p_3.dot,results/mult_4/file/mult_4_file_po03_p_3.log,results/mult_4/file/mult_4_file_po03_p_3.do
mult_4,file,4,101,p[4],47,ok,results/mult_4/file/mult_4_file_po04_p_4.png,results/mult_4/file/mult_4_file_po04_p_4.bdd.txt,results/mult_4/file/mult_4_file_po04_p_4.dot,results/mult_4/file/mult_4_file_po04_p_4.log,results/mult_4/file/mult_4_file_po04_p_4.do
mult_4,file,5,102,p[5],46,ok,results/mult_4/file/mult_4_file_po05_p_5.png,results/mult_4/file/mult_4_file_po05_p_5.bdd.txt,results/mult_4/file/mult_4_file_po05_p_5.dot,results/mult_4/file/mult_4_file_po05_p_5.log,results/mult_4/file/mult_4_file_po05_p_5.do
mult_4,file,6,103,p[6],37,ok,results/mult_4/file/mult_4_file_po06_p_6.png,results/mult_4/file/mult_4_file_po06_p_6.bdd.txt,results/mult_4/file/mult_4_file_po06_p_6.dot,results/mult_4/file/mult_4_file_po06_p_6.log,results/mult_4/file/mult_4_file_po06_p_6.do
