family,function,bits,dd,order,outputs,total_nodes,max_output_nodes,per_output_nodes
bitwise_boolean,add,2,bdd,file,3,14,6,2 6 6
bitwise_boolean,add,2,pfdd,file,3,12,6,2 4 6
bitwise_boolean,add,2,nfdd,file,3,15,8,2 5 8
integer,add,2,bmd,file,1,4,4,4
bitwise_boolean,add,2,bdd,interleaved,3,12,5,2 5 5
bitwise_boolean,add,2,pfdd,interleaved,3,11,5,2 4 5
bitwise_boolean,add,2,nfdd,interleaved,3,13,6,2 5 6
integer,add,2,bmd,interleaved,1,4,4,4
bitwise_boolean,mul,2,bdd,file,4,14,6,2 6 2 4
bitwise_boolean,mul,2,pfdd,file,4,15,5,2 4 5 4
bitwise_boolean,mul,2,nfdd,file,4,18,6,2 6 6 4
integer,mul,2,bmd,file,1,6,6,6
bitwise_boolean,mul,2,bdd,interleaved,4,14,6,2 6 2 4
bitwise_boolean,mul,2,pfdd,interleaved,4,14,4,2 4 4 4
bitwise_boolean,mul,2,nfdd,interleaved,4,17,6,2 6 5 4
integer,mul,2,bmd,interleaved,1,7,7,7
bitwise_boolean,xor,2,bdd,file,2,4,2,2 2
bitwise_boolean,xor,2,pfdd,file,2,4,2,2 2
bitwise_boolean,xor,2,nfdd,file,2,4,2,2 2
integer,xor,2,bmd,file,1,6,6,6
bitwise_boolean,xor,2,bdd,interleaved,2,4,2,2 2
bitwise_boolean,xor,2,pfdd,interleaved,2,4,2,2 2
bitwise_boolean,xor,2,nfdd,interleaved,2,4,2,2 2
integer,xor,2,bmd,interleaved,1,6,6,6
bitwise_boolean,add,3,bdd,file,4,36,14,2 6 14 14
bitwise_boolean,add,3,pfdd,file,4,28,14,2 4 8 14
bitwise_boolean,add,3,nfdd,file,4,35,18,2 5 10 18
integer,add,3,bmd,file,1,6,6,6
bitwise_boolean,add,3,bdd,interleaved,4,23,8,2 5 8 8
bitwise_boolean,add,3,pfdd,interleaved,4,21,8,2 4 7 8
bitwise_boolean,add,3,nfdd,interleaved,4,24,9,2 5 8 9
integer,add,3,bmd,interleaved,1,6,6,6
bitwise_boolean,mul,3,bdd,file,6,58,15,2 6 15 13 12 10
bitwise_boolean,mul,3,pfdd,file,6,54,15,2 4 8 15 15 10
bitwise_boolean,mul,3,nfdd,file,6,77,22,2 6 13 21 22 13
integer,mul,3,bmd,file,1,12,12,12
bitwise_boolean,mul,3,bdd,interleaved,6,56,16,2 6 12 16 13 7
bitwise_boolean,mul,3,pfdd,interleaved,6,51,16,2 4 7 15 16 7
bitwise_boolean,mul,3,nfdd,interleaved,6,72,22,2 6 12 22 22 8
integer,mul,3,bmd,interleaved,1,14,14,14
bitwise_boolean,xor,3,bdd,file,3,6,2,2 2 2
bitwise_boolean,xor,3,pfdd,file,3,6,2,2 2 2
bitwise_boolean,xor,3,nfdd,file,3,6,2,2 2 2
integer,xor,3,bmd,file,1,9,9,9
